Nama Tempat,Kategori,Area,Rating,Harga,Latitude,Longitude,Google Maps Link
District Dago Cafe & Resto,Cafe,Dago,4.5,Rp 50–75,-6.8753339,107.6184941,https://www.google.com/maps/place/District+Dago+Cafe+%26+Resto/data=!4m7!3m6!1s0x2e68e72634a32bf5:0xfa6cf69a4a2719de!8m2!3d-6.8753339!4d107.6184941!16s%2Fg%2F11h0ms3tcp!19sChIJ9SujNCbnaC4R3hknSpr2bPo?authuser=0&hl=id&rclk=1
Dreams Social Life,Cafe,Dago,4.1,Rp 25–75,-6.8803035,107.6164488,https://www.google.com/maps/place/Dreams+Social+Life/data=!4m7!3m6!1s0x2e68e72256f2ae07:0x2c58eb4588f8bb50!8m2!3d-6.8803035!4d107.6164488!16s%2Fg%2F11s7c8z8l8!19sChIJB67yViLnaC4RULv4iEXrWCw?authuser=0&hl=id&rclk=1
Bamboorasa Cafe & Resto,Cafe,Dago,4.5,Rp 50.000 (Estimasi),-6.8652411,107.6206583,https://www.google.com/maps/place/Bamboorasa+Cafe+%26+Resto/data=!4m7!3m6!1s0x2e68e79d08c2696b:0x30f7d9d950538865!8m2!3d-6.8652411!4d107.6206583!16s%2Fg%2F11rxwjqsjf!19sChIJa2nCCJ3naC4RZYhTUNnZ9zA?authuser=0&hl=id&rclk=1
LO Space,Cafe,Dago,4.7,Rp 25–50,-6.870665,107.6173429,https://www.google.com/maps/place/LO+Space/data=!4m7!3m6!1s0x2e68e74c035ab58d:0xdb388667fd43d281!8m2!3d-6.870665!4d107.6173429!16s%2Fg%2F11rfmvm995!19sChIJjbVaA0znaC4RgdJD_WeGONs?authuser=0&hl=id&rclk=1
Rooftop Coffee Dago,Cafe,Dago,4.6,Rp 25–50,-6.8652247,107.6206564,https://www.google.com/maps/place/Rooftop+Coffee+Dago/data=!4m7!3m6!1s0x2e68e790c1f9abd5:0x908de56a19a1665d!8m2!3d-6.8652247!4d107.6206564!16s%2Fg%2F11m78rdvxx!19sChIJ1av5wZDnaC4RXWahGWrljZA?authuser=0&hl=id&rclk=1
The Valley Bistro Café,Cafe,Dago,4.5,Rp 250.000,-6.863508,107.6339595,https://www.google.com/maps/place/The+Valley+Bistro+Caf%C3%A9/data=!4m7!3m6!1s0x2e68e723277ab69d:0xa07f2b89d840f7c1!8m2!3d-6.863508!4d107.6339595!16s%2Fg%2F11g8v43vj8!19sChIJnbZ6JyPnaC4RwfdA2Ikrf6A?authuser=0&hl=id&rclk=1
Dago Terrace Coffee & Pizza,Cafe,Dago,4.8,Rp 50.000 (Estimasi),-6.8694573,107.6322867,https://www.google.com/maps/place/Dago+Terrace+Coffee+%26+Pizza/data=!4m7!3m6!1s0x2e68e735c695a6cb:0x41c707dff4a67c1e!8m2!3d-6.8694573!4d107.6322867!16s%2Fg%2F11t3dxfj0s!19sChIJy6aVxjXnaC4RHnym9N8Hx0E?authuser=0&hl=id&rclk=1
Brunswick Cafe,Cafe,Dago,4.7,Rp 50.000 - Rp 100.000,-6.8681489,107.6332025,https://www.google.com/maps/place/Brunswick+Cafe/data=!4m7!3m6!1s0x2e68e749acfd13f7:0x9939e89cdddfc350!8m2!3d-6.8681489!4d107.6332025!16s%2Fg%2F11fnb0_07l!19sChIJ9xP9rEnnaC4RUMPf3ZzoOZk?authuser=0&hl=id&rclk=1
Delapan Padi,Cafe,Dipatiukur,4.7,Rp 50–100,-6.8981453,107.6141291,https://www.google.com/maps/place/Delapan+Padi/data=!4m7!3m6!1s0x2e68e74a897a78c1:0x3b843a88c8aea0fc!8m2!3d-6.8981453!4d107.6141291!16s%2Fg%2F11f9zrj5r8!19sChIJwXh6iUrnaC4R_KCuyIg6hDs?authuser=0&hl=id&rclk=1
de.u Coffee,Cafe,Dipatiukur,4.8,Rp 25–50,-6.8959127,107.6162647,https://www.google.com/maps/place/de.u+Coffee/data=!4m7!3m6!1s0x2e68e70886048fe1:0xfed887fa71320104!8m2!3d-6.8959127!4d107.6162647!16s%2Fg%2F11fvv2kyfr!19sChIJ4Y8EhgjnaC4RBAEycfqH2P4?authuser=0&hl=id&rclk=1
KOZI Coffee Dipatiukur,Cafe,Dipatiukur,4.7,Rp 25–50,-6.898163,107.6133243,https://www.google.com/maps/place/KOZI+Coffee+Dipatiukur/data=!4m7!3m6!1s0x2e68e77190fdd037:0x5ebb5f9ac87360cf!8m2!3d-6.898163!4d107.6133243!16s%2Fg%2F11hsb478ld!19sChIJN9D9kHHnaC4Rz2BzyJpfu14?authuser=0&hl=id&rclk=1
